Student Name,Age,Gender,Class,Quiz 1,Quiz 2,Quiz 3,Assignment Score,Midterm,Final Exam,Time Spent (hrs/week),Result
Rahul,15,,10A,,22,absent,,40,10,,Pass
Priya,18,,10A,absent,,absent,,54,15,five,
Arjun,,F,,,,,,45,,,Fail
Rahul,19,Female,10-B,,absent,absent,69,,,2.22,pass
Rohit,18,F,XI,absent,,,,,,,Fail
Sneha ,18,,10A,,absent,absent,,absent,absent,,
Meena,18,,10-B,,absent,absent,absent,58,25,,Pass
Aditi,16,F,12 ,,,,absent,,,9.35,pass
Sneha,,F,XI,,,absent,69,73,absent,five,Fail
Rohit,18,M,10-B,,,44,,58,,five,Fail
Aditi,seventeen,Female,10-B,absent,absent,,absent,absent,absent,4.63,
Sneha,15,,10A,,,,,10,,,FAIL
Priya,15,F,,,absent,,37,,30,five,FAIL
Arjun,,,12 ,92,,,,,,,Pass
Arjun,18,Male,10-B,,36,,,55,93,,pass
Sneha,15,,,,,50,absent,,,,
Rahul,19,,,,,,,30,100,,Fail
Sneha,16,M,10A,absent,62,,absent,absent,77,,Fail
Meena,,Female,10-B,,75,66,,89,,1.59,pass
Meena,17,Male,10-B,,99,,,,,5.91,Pass
Meena,seventeen,,10A,82,,64,,,,,FAIL
Rahul ,,,,absent,,,absent,,,five,
Meena,18,M,10A,absent,,,13,,,,Pass
Rahul,15,,,,,,,absent,,,FAIL
Karan,17,Male,,,76,75,1,,absent,8.17,Pass
Rahul,seventeen,F,,,absent,,absent,64,,five,Pass
Priya,17,,10A,,,,67,89,,five,Pass
Arjun,15,Male,,absent,,absent,,,,five,FAIL
Vikram,,,,,100,,,,,,
Aditi,seventeen,Male,10-B,76,90,,,26,,five,pass
Vikram,16,F,,,,,,absent,39,,FAIL
Ananya,18,Male,10A,,absent,,,26,15,five,
Aditi,16,Female,,,,71,,,78,five,Fail
Vikram,17,Female,10-B,,43,,68,,,5.33,
Priya,15,M,10-B,58,,,,,,,
Rohit,16,Female,12 ,,,,,7,,five,Fail
Priya,17,Male,10A,85,,absent,,,80,,pass
Rohit,15,F,10-B,52,,,,18,absent,0.88,FAIL
Vikram,seventeen,Female,12 ,,absent,77,absent,,absent,,FAIL
Aditi,15,,10-B,,16,absent,absent,,,five,
Ananya,,,,,,29,,,,,FAIL
Ananya,19,,10-B,79,absent,,,,,five,FAIL
Ananya,19,,10-B,79,absent,,,,,five,FAIL
Meena ,18,F,10A,,,absent,30,,61,five,Pass
Sneha,seventeen,Male,10-B,,68,42,,,,five,
Rohit,17,Male,,,70,,,,,,
Aditi,17,,10-B,absent,,absent,,73,,2.57,pass
Ananya,15,M,12 ,99,,,,,absent,,pass
Karan,,M,,8,absent,,absent,,absent,,
Meena,15,Female,10-B,,,absent,,36,absent,five,
Ananya,,Female,10-B,,,,,,absent,,Pass
Arjun,seventeen,Male,10-B,,absent,,absent,13,absent,,
Sneha ,,Female,10-B,absent,,,,,absent,five,
Vikram ,15,F,XI,absent,,,,,,five,
Sneha,18,Male,,68,,24,absent,,,9.2,FAIL
Priya,15,Male,12 ,,absent,,35,absent,,,
Sneha,15,M,12 ,,absent,99,82,absent,,,pass
Priya,17,F,10-B,71,,,,,10,4.34,Pass
Aditi,,F,12 ,absent,,,absent,,absent,,FAIL
Karan,,F,,,72,,,absent,,five,FAIL
Sneha,seventeen,Female,10A,,absent,67,,,absent,,
Ananya ,19,F,,absent,,53,,absent,absent,,
Karan,15,M,,53,absent,,,70,,,
Sneha,18,,12 ,,14,,,,,,
Meena,,F,12 ,,,89,absent,,absent,,
Rohit,15,,,85,4,,,,10,,
Vikram,,M,,,,,absent,,,,Pass
Aditi,,F,10A,absent,,,,,,,Fail
Aditi,,F,10A,absent,,,,,,,Fail
Aditi,17,Male,,49,absent,90,,,,five,Fail
Karan ,16,,10-B,absent,,15,,absent,,,Pass
Meena,16,F,XI,,,,74,47,,8.29,FAIL
Priya,17,Female,12 ,40,,,18,,,,
Karan,,M,10-B,,,,,,,7.81,
Priya,16,,10-B,,,,43,absent,19,,Fail
Vikram,15,,10A,,,25,,,,,Pass
Rahul ,,,10A,25,,,absent,,,,Fail
Rahul,,F,12 ,,30,absent,84,,,,Fail
Arjun,19,F,12 ,97,,,,,absent,,
Vikram,19,,10-B,,44,,,absent,,five,FAIL
Arjun,,,10A,,,,,,,five,Pass
Rohit,19,M,10-B,,,,16,absent,,,FAIL
Rohit,16,Female,,,76,,absent,,,8.29,
Sneha ,16,Female,,54,,,,absent,64,,Fail
Vikram,17,Male,12 ,absent,,,,,,5.38,pass
Karan,,Male,,,,61,,38,absent,,FAIL
Vikram,16,,,,,absent,absent,,absent,five,Pass
Aditi,,,,53,absent,,,29,absent,,
Ananya ,17,F,10-B,,61,,51,,,,pass
Meena,15,,,,49,4,,,,,Pass
Priya,seventeen,F,12 ,absent,,absent,,14,absent,,
Rahul,19,Male,10-B,,absent,,absent,,absent,,Fail
Ananya ,17,F,,8,,absent,,,,,Pass
Aditi,19,Female,,41,absent,41,absent,absent,,,
Meena,16,F,XI,11,,,42,56,,,pass
Sneha,19,M,10-B,absent,absent,,55,,,five,
Aditi,18,,XI,,absent,,,97,,,FAIL
Vikram,16,M,10-B,,14,absent,,absent,1,five,Pass
Arjun,,M,12 ,,,absent,,,absent,,
Karan ,seventeen,Female,10A,,absent,100,absent,,63,,
Sneha,16,Female,10-B,absent,89,,,37,absent,2.8,FAIL
Meena,,,10-B,absent,,,81,absent,,,pass
Sneha,17,,10A,80,,,absent,,absent,,
Vikram,15,,,absent,67,,,6,,five,Fail
Ananya,18,F,10A,,,94,40,,,1.2,Pass
Ananya,,Female,,89,,,,71,,8.41,Fail
Rohit ,19,Male,10A,,,57,90,57,,,Pass
Rahul ,seventeen,,XI,93,34,20,absent,,absent,,
Rahul,19,,10-B,,,absent,,absent,,,
Aditi,17,Male,12 ,,absent,,,,,,FAIL
Arjun ,17,,,absent,55,37,absent,,,,pass
Meena,15,,,,,,,absent,,five,Pass
Karan,16,Male,,absent,,absent,,,34,five,pass
Meena,seventeen,Female,XI,,,,,absent,,4.03,
Karan,17,,,62,93,,,3,,,pass
Arjun ,16,Male,12 ,,absent,,,7,,0.52,FAIL
Aditi,16,,XI,,absent,absent,63,,absent,,
Sneha ,,Female,10-B,absent,,,absent,,,five,
Rahul,,,,14,absent,absent,,15,,1.78,pass
Ananya,17,M,10-B,36,,absent,30,,,,
Aditi,16,Male,,,,17,,,,,
Vikram,17,Female,,,,,9,,,2.53,Pass
Arjun,16,,10A,,,,,,70,five,Fail
Priya ,17,Male,,absent,,,absent,,absent,five,
Karan,18,,,absent,,,24,,,five,Pass
Aditi,18,Male,12 ,51,,,,,,five,FAIL
Vikram,19,,10-B,absent,67,,33,absent,,,
Rahul,,Female,,,43,absent,,,,6.77,Fail
Arjun,17,M,,,,18,absent,,absent,,Pass
Arjun,19,M,12 ,,,,,,,,pass
Arjun,17,Female,,,absent,,absent,,absent,five,pass
